Timestamp,Open,High,Low,Close
2022-06-07,1.24,1.24,1.24,1.24,
2022-06-08,1.25,1.25,1.25,1.25,
2022-06-09,1.26,1.26,1.26,1.26,
2022-06-10,1.34,1.34,1.34,1.34,
2022-06-13,1.69,1.69,1.69,1.69,
2022-06-14,1.78,1.78,1.78,1.78,
2022-06-15,1.69,1.69,1.69,1.69,
2022-06-16,1.54,1.54,1.54,1.54,
2022-06-17,1.58,1.58,1.58,1.58,
2022-06-21,1.66,1.66,1.66,1.66,
2022-06-22,1.57,1.57,1.57,1.57,
2022-06-23,1.59,1.59,1.59,1.59,
2022-06-24,1.66,1.66,1.66,1.66,
2022-06-27,1.75,1.75,1.75,1.75,
2022-06-28,1.75,1.75,1.75,1.75,
2022-06-29,1.73,1.73,1.73,1.73,
2022-06-30,1.66,1.66,1.66,1.66,
2022-07-01,1.66,1.66,1.66,1.66,
2022-07-05,1.86,1.86,1.86,1.86,
2022-07-06,1.85,1.85,1.85,1.85,
2022-07-07,1.89,1.89,1.89,1.89,
2022-07-08,1.91,1.91,1.91,1.91,
2022-07-11,2.13,2.13,2.13,2.13,
2022-07-12,2.16,2.16,2.16,2.16,
2022-07-13,2.33,2.33,2.33,2.33,
2022-07-14,2.33,2.33,2.33,2.33,
2022-07-15,2.29,2.29,2.29,2.29,
2022-07-18,2.44,2.44,2.44,2.44,
2022-07-19,2.46,2.46,2.46,2.46,
2022-07-20,2.44,2.44,2.44,2.44,
2022-07-21,2.4,2.4,2.4,2.4,
2022-07-22,2.41,2.41,2.41,2.41,
2022-07-25,2.55,2.55,2.55,2.55,
2022-07-26,2.48,2.48,2.48,2.48,
2022-07-27,2.37,2.37,2.37,2.37,
2022-07-28,2.35,2.35,2.35,2.35,
2022-07-29,2.34,2.34,2.34,2.34,
2022-08-01,2.48,2.48,2.48,2.48,
2022-08-02,2.48,2.48,2.48,2.48,
2022-08-03,2.44,2.44,2.44,2.44,
2022-08-04,2.41,2.41,2.41,2.41,
2022-08-05,2.48,2.48,2.48,2.48,
2022-08-08,2.57,2.57,2.57,2.57,
2022-08-09,2.58,2.58,2.58,2.58,
2022-08-10,2.56,2.56,2.56,2.56,
2022-08-11,2.52,2.52,2.52,2.52,
2022-08-12,2.53,2.53,2.53,2.53,
2022-08-15,2.63,2.63,2.63,2.63,
2022-08-16,2.61,2.61,2.61,2.61,
2022-08-17,2.59,2.59,2.59,2.59,
2022-08-18,2.61,2.61,2.61,2.61,
2022-08-19,2.64,2.64,2.64,2.64,
2022-08-22,2.74,2.74,2.74,2.74,
2022-08-23,2.71,2.71,2.71,2.71,
2022-08-24,2.73,2.73,2.73,2.73,
2022-08-25,2.78,2.78,2.78,2.78,
2022-08-26,2.78,2.78,2.78,2.78,
2022-08-29,2.89,2.89,2.89,2.89,
2022-08-30,2.88,2.88,2.88,2.88,
2022-08-31,2.87,2.87,2.87,2.87,
2022-09-01,2.88,2.88,2.88,2.88,
2022-09-02,2.85,2.85,2.85,2.85,
2022-09-06,2.96,2.96,2.96,2.96,
2022-09-07,2.98,2.98,2.98,2.98,
2022-09-08,2.97,2.97,2.97,2.97,
2022-09-09,2.98,2.98,2.98,2.98,
2022-09-12,3.09,3.09,3.09,3.09,
2022-09-13,3.19,3.19,3.19,3.19,
2022-09-14,3.14,3.14,3.14,3.14,
2022-09-15,3.12,3.12,3.12,3.12,
2022-09-16,3.1,3.1,3.1,3.1,
2022-09-19,3.29,3.29,3.29,3.29,
2022-09-20,3.26,3.26,3.26,3.26,
2022-09-21,3.21,3.21,3.21,3.21,
2022-09-22,3.19,3.19,3.19,3.19,
